"","char.par_state","num.par_state","char.par_stateabbrv","char.par_cz","num.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"1","Tennessee",43,"TN","100",296,29001,14658,14343,0.0016206,0.0003448,0.0003793,0.0001379,0.0001034,0.0003448,0.0001724,0.0027971,0.0005458,0.000614,0.0002047,0.0002047,0.0006822,0.0002729,0.0002729,0.0004183,0.0001394,0.0001394,6.97e-05,0,0,6.97e-05,0
"2","Tennessee",43,"TN","200",412,12212,6199,6012,0.0011464,0.0001638,0.0002457,0.0001638,0,0.0002457,0.0001638,0.0019358,0.0003226,0.0004839,0,0,0.0004839,0.0003226,0.0003226,0.0003327,0,0,0.0003327,0,0,0,0
"3","Tennessee",43,"TN","301",391,3347,1683,1664,0.0005976,0,0,0.0002988,0,0.0002988,0,0.0005942,0,0,0,0,0.0005942,0,0,0.000601,0,0,0.000601,0,0,0,0
"4","Tennessee",43,"TN","302",316,37791,19001,18770,0.0018258,0.0002117,0.0004498,0.0003175,0.0002117,0.0001588,0.0003175,0.0029472,0.0003684,0.0007894,0.0003684,0.0003684,0.0002631,0.0005263,0.0002631,0.0006926,5.33e-05,0.0001066,0.0002664,5.33e-05,5.33e-05,0.0001066,5.33e-05
"5","North Carolina",34,"NC","401",674,26286,13280,13004,0.0019402,0.0001902,0.0006848,0.0002283,0.0003043,0.0001522,0.0003043,0.0031627,0.0003012,0.0012048,0.0002259,0.0004518,0.0003012,0.0005271,0.0001506,0.0006921,7.69e-05,0.0001538,0.0002307,0.0001538,0,7.69e-05,0
"6","Virginia",47,"VA","402",376,5300,2678,2622,0.000566,0.0001887,0,0,0,0.0001887,0.0001887,0.0007468,0.0003734,0,0,0,0.0003734,0,0,0.0003814,0,0,0,0,0,0.0003814,0
"7","North Carolina",34,"NC","500",249,54311,27258,27050,0.0015651,0.0002578,0.0004235,0.0001473,0.0002209,9.21e-05,0.0002578,0.0025681,0.0004769,0.0007337,0.0001101,0.0003302,0.0001467,0.0004402,0.0003302,0.0005545,3.7e-05,0.0001109,0.0001848,0.0001109,3.7e-05,7.39e-05,0
"8","North Carolina",34,"NC","601",435,4703,2417,2286,0.0008505,0,0,0,0.0002126,0,0.0004253,0.0012412,0,0,0,0.0004137,0,0.0008275,0,0.0004374,0,0,0,0,0,0,0.0004374
"9","Virginia",47,"VA","602",223,2938,1507,1431,0.0003404,0,0,0,0,0,0.0003404,0,0,0,0,0,0,0,0,0.0006988,0,0,0,0,0,0.0006988,0
"10","South Carolina",41,"SC","700",571,19529,9758,9770,0.0011777,0.0001536,0.0002048,0.0002048,5.12e-05,0.0001024,0.0004096,0.0020496,0.000205,0.0004099,0.0003074,0.0001025,0.0001025,0.0008198,0.0001025,0.0003071,0.0001024,0,0.0001024,0,0.0001024,0,0
"11","North Carolina",34,"NC","800",228,23429,11913,11516,0.0011097,0.0001707,0.0002988,8.54e-05,0.0002134,4.27e-05,0.0002134,0.001511,0.0001679,0.0004197,0,0.0004197,8.39e-05,0.0002518,0.0001679,0.0006947,0.0001737,0.0001737,0.0001737,0,0,0.0001737,0
"12","North Carolina",34,"NC","900",104,76053,38140,37908,0.0017225,0.0001972,0.0004997,0.0002235,7.89e-05,0.0001972,0.0003813,0.0025957,0.0003146,0.0008915,0.0002884,7.87e-05,0.0003671,0.0004982,0.0001573,0.0008441,7.91e-05,0.0001055,0.0001583,7.91e-05,2.64e-05,0.0002638,0.0001319
"13","North Carolina",34,"NC","1001",65,3329,1712,1617,0.0009012,0,0,0.0003004,0.0003004,0,0,0.0017523,0,0,0.0005841,0.0005841,0,0,0.0005841,0,0,0,0,0,0,0,0
"14","North Carolina",34,"NC","1002",410,8166,4147,4016,0.0006123,0,0.0001225,0.0001225,0.0001225,0.0001225,0.0001225,0.0012057,0,0.0002411,0.0002411,0.0002411,0.0002411,0.0002411,0,0,0,0,0,0,0,0,0
"15","North Carolina",34,"NC","1100",271,20040,10122,9917,0.0016966,0.0001497,0.0005988,0.0001996,0.0002495,0.0002495,0.0001996,0.002865,0.0002964,0.0010867,0.0001976,0.0002964,0.000494,0.0003952,9.88e-05,0.0005042,0,0.0001008,0.0002017,0.0002017,0,0,0
"16","North Carolina",34,"NC","1201",216,2064,1065,999,0.000969,0.0004845,0,0,0.0004845,0,0,0.0018779,0.000939,0,0,0.000939,0,0,0,0,0,0,0,0,0,0,0
"17","North Carolina",34,"NC","1202",597,2644,1394,1250,0.0015129,0.0003782,0.0003782,0,0,0.0003782,0.0003782,0.0021521,0.0007174,0.0007174,0,0,0,0.0007174,0,8e-04,0,0,0,0,8e-04,0,0
"18","North Carolina",34,"NC","1203",23,19441,9913,9528,0.0014917,0.0001029,0.0003086,0.0003601,0.0004115,0.0001543,0.0001543,0.0024211,0.0001009,0.0004035,0.0006053,0.0007061,0.0003026,0.0003026,0,0.0005248,0.000105,0.0002099,0.000105,0.000105,0,0,0
"19","North Carolina",34,"NC","1204",21,2819,1421,1398,0.0007095,0.0003547,0,0.0003547,0,0,0,0.0014075,0.0007037,0,0.0007037,0,0,0,0,0,0,0,0,0,0,0,0
"20","South Carolina",41,"SC","1301",50,4668,2355,2313,0.0006427,0.0002142,0,0.0002142,0,0.0002142,0,0.0004246,0,0,0,0,0.0004246,0,0,0.0008647,0.0004323,0,0.0004323,0,0,0,0
"21","South Carolina",41,"SC","1302",209,33268,16510,16758,0.0006312,0.0001202,0.0001804,3.01e-05,6.01e-05,6.01e-05,0.0001202,0.0009691,0.0001817,0.0003634,6.06e-05,6.06e-05,0.0001211,0.0001211,6.06e-05,0.0002984,5.97e-05,0,0,5.97e-05,0,0.0001193,5.97e-05
"22","North Carolina",34,"NC","1400",204,39260,19553,19706,0.0008151,0.0001019,0.0002547,2.55e-05,0.0001274,7.64e-05,0.0001783,0.001432,0.0001534,0.0004091,5.11e-05,0.0002557,0.0001534,0.0003069,0.0001023,0.000203,5.07e-05,0.0001015,0,0,0,5.07e-05,0
"23","North Carolina",34,"NC","1500",667,18429,9307,9122,0.0010852,0.0001085,0.0003256,5.43e-05,0.0001628,0.0001085,0.0002713,0.0017191,0.0002149,0.0005372,0,0.0002149,0.0002149,0.0005372,0,0.0004385,0,0.0001096,0.0001096,0.0001096,0,0,0.0001096
"24","North Carolina",34,"NC","1600",668,13562,6784,6778,0.0005899,0,0,0.0002212,0,0,0.0002949,0.0008844,0,0,0.0001474,0,0,0.0005896,0.0001474,0.0002951,0,0,0.0002951,0,0,0,0
"25","North Carolina",34,"NC","1701",498,67194,33593,33587,0.0029913,0.0001935,0.0011162,0.000506,0.0003423,0.0003423,0.0003721,0.0046141,0.0001786,0.0018456,0.0006847,0.0005656,0.0006847,0.0005656,8.93e-05,0.0013696,0.0002084,0.0003871,0.0003275,0.0001191,0,0.0001786,0.0001489
"26","North Carolina",34,"NC","1702",269,3675,1816,1859,0.0008163,0,0.0002721,0,0,0.0005442,0,0.001652,0,0.0005507,0,0,0.0011013,0,0,0,0,0,0,0,0,0,0
"27","North Carolina",34,"NC","1800",234,12154,5975,6179,0.0008228,0,0.0004114,8.23e-05,0,0,0.0002468,0.0015063,0,0.0008368,0.0001674,0,0,0.0003347,0.0001674,0.0001618,0,0,0,0,0,0.0001618,0
"28","North Carolina",34,"NC","1900",291,29433,14789,14640,0.001359,0.0001359,0.0003398,0.0002718,0.0001019,3.4e-05,0.0004077,0.0023666,0.0002705,0.0006762,0.0004057,0.0002029,6.76e-05,0.0006762,6.76e-05,0.0003415,0,0,0.0001366,0,0,0.0001366,6.83e-05
"29","Virginia",47,"VA","2000",642,67569,34011,33557,0.0010064,7.4e-05,0.000222,0.0002368,0.0001332,0.0001036,0.0001628,0.0015877,5.88e-05,0.000441,0.0002646,0.0002352,0.0002058,0.0002646,0.0001176,0.0004172,8.94e-05,0,0.0002086,2.98e-05,0,5.96e-05,2.98e-05
"30","North Carolina",34,"NC","2100",645,7359,3601,3758,0.0013589,0.0001359,0.0001359,0.0001359,0.0002718,0.0004077,0.0002718,0.0019439,0.0002777,0.0002777,0.0002777,0.0005554,0.0002777,0.0002777,0,0.0007983,0,0,0,0,0.0005322,0.0002661,0
"31","Virginia",47,"VA","2200",569,8528,4244,4284,0.0007036,0,0.0001173,0,0.0002345,0.0001173,0.0001173,0.0011781,0,0,0,0.0004713,0.0002356,0.0002356,0.0002356,0.0002334,0,0.0002334,0,0,0,0,0
"32","Virginia",47,"VA","2300",362,12421,6329,6091,0.0009661,8.05e-05,0.0004831,8.05e-05,8.05e-05,0.000161,0,0.00158,0,0.000948,0,0.000158,0.000316,0,0.000158,0.0003284,0.0001642,0,0.0001642,0,0,0,0
