par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
100,Johnson City,Tennessee,TN,29001,0.0016206,0.0003448,0.0003793,0.0001379,0.0001034,0.0003448,0.0001724,0.0001379,14658,0.0027971,0.0005458,0.000614,0.0002047,0.0002047,0.0006822,0.0002729,0.0002729,14343,0.0004183,0.0001394,0.0001394,0.0000697,0,0,0.0000697,0
200,Morristown,Tennessee,TN,12212,0.0011464,0.0001638,0.0002457,0.0001638,0,0.0002457,0.0001638,0.0001638,6199,0.0019358,0.0003226,0.0004839,0,0,0.0004839,0.0003226,0.0003226,6012,0.0003327,0,0,0.0003327,0,0,0,0
301,Middlesborough,Tennessee,TN,3347,0.0005976,0,0,0.0002988,0,0.0002988,0,0,1683,0.0005942,0,0,0,0,0.0005942,0,0,1664,0.000601,0,0,0.000601,0,0,0,0
302,Knoxville,Tennessee,TN,37791,0.0018258,0.0002117,0.0004498,0.0003175,0.0002117,0.0001588,0.0003175,0.0001588,19001,0.0029472,0.0003684,0.0007894,0.0003684,0.0003684,0.0002631,0.0005263,0.0002631,18770,0.0006926,0.0000533,0.0001066,0.0002664,0.0000533,0.0000533,0.0001066,0.0000533
401,Winston-Salem,North Carolina,NC,26286,0.0019402,0.0001902,0.0006848,0.0002283,0.0003043,0.0001522,0.0003043,0.0000761,13280,0.0031627,0.0003012,0.0012048,0.0002259,0.0004518,0.0003012,0.0005271,0.0001506,13004,0.0006921,0.0000769,0.0001538,0.0002307,0.0001538,0,0.0000769,0
402,Martinsville,Virginia,VA,5300,0.000566,0.0001887,0,0,0,0.0001887,0.0001887,0,2678,0.0007468,0.0003734,0,0,0,0.0003734,0,0,2622,0.0003814,0,0,0,0,0,0.0003814,0
500,Greensboro,North Carolina,NC,54311,0.0015651,0.0002578,0.0004235,0.0001473,0.0002209,0.0000921,0.0002578,0.0001657,27258,0.0025681,0.0004769,0.0007337,0.0001101,0.0003302,0.0001467,0.0004402,0.0003302,27050,0.0005545,0.000037,0.0001109,0.0001848,0.0001109,0.000037,0.0000739,0
601,North Wilkesboro,North Carolina,NC,4703,0.0008505,0,0,0,0.0002126,0,0.0004253,0.0002126,2417,0.0012412,0,0,0,0.0004137,0,0.0008275,0,2286,0.0004374,0,0,0,0,0,0,0.0004374
602,Galax,Virginia,VA,2938,0.0003404,0,0,0,0,0,0.0003404,0,1507,0,0,0,0,0,0,0,0,1431,0.0006988,0,0,0,0,0,0.0006988,0
700,Spartanburg,South Carolina,SC,19529,0.0011777,0.0001536,0.0002048,0.0002048,0.0000512,0.0001024,0.0004096,0.0000512,9758,0.0020496,0.000205,0.0004099,0.0003074,0.0001025,0.0001025,0.0008198,0.0001025,9770,0.0003071,0.0001024,0,0.0001024,0,0.0001024,0,0
800,Gastonia,North Carolina,NC,23429,0.0011097,0.0001707,0.0002988,0.0000854,0.0002134,0.0000427,0.0002134,0.0000854,11913,0.001511,0.0001679,0.0004197,0,0.0004197,0.0000839,0.0002518,0.0001679,11516,0.0006947,0.0001737,0.0001737,0.0001737,0,0,0.0001737,0
